timestamp;TIME;latitude;longitude;locked
20250715_153152.422857;20250715;0;0;searching
20250715_153152.759695;20250715;0;0;searching
20250715_153153.102956;20250715;0;0;searching
20250715_153153.466101;20250715;0;0;searching
20250715_153153.811401;20250715;0;0;searching
20250715_153154.157955;20250715;45.87074667;8.981496667;locked
20250715_153154.498352;20250715;0;0;searching
20250715_153154.826970;20250715;0;0;searching
20250715_153155.162774;20250715;0;0;searching
20250715_153155.493593;20250715;0;0;searching
20250715_153155.826774;20250715;0;0;searching
20250715_153156.164314;20250715;0;0;searching
20250715_153156.512454;20250715;0;0;searching
20250715_153156.860335;20250715;0;0;searching
20250715_153157.200783;20250715;0;0;searching
20250715_153157.528963;20250715;0;0;searching
20250715_153157.867752;20250715;0;0;searching
20250715_153158.204828;20250715;0;0;searching
20250715_153158.534456;20250715;0;0;searching
20250715_153158.883578;20250715;0;0;searching
20250715_153159.212815;20250715;0;0;searching
20250715_153159.549832;20250715;0;0;searching
20250715_153159.882772;20250715;0;0;searching
20250715_153200.214082;20250715;0;0;searching
20250715_153200.548211;20250715;0;0;searching
20250715_153200.879909;20250715;0;0;searching
20250715_153201.215675;20250715;0;0;searching
20250715_153201.576075;20250715;0;0;searching
20250715_153201.904597;20250715;0;0;searching
20250715_153202.231836;20250715;0;0;searching
20250715_153202.565742;20250715;0;0;searching
20250715_153202.920404;20250715;0;0;searching
20250715_153203.253488;20250715;0;0;searching
20250715_153203.585861;20250715;0;0;searching
20250715_153203.927248;20250715;0;0;searching
20250715_153204.271957;20250715;0;0;searching
20250715_153204.610681;20250715;0;0;searching
20250715_153204.949105;20250715;0;0;searching
20250715_153205.287872;20250715;0;0;searching
20250715_153205.638840;20250715;0;0;searching
20250715_153205.975094;20250715;0;0;searching
20250715_153206.307454;20250715;0;0;searching
20250715_153206.663291;20250715;0;0;searching
20250715_153206.997871;20250715;0;0;searching
20250715_153207.333352;20250715;0;0;searching
20250715_153207.668233;20250715;0;0;searching
20250715_153208.008848;20250715;0;0;searching
20250715_153208.343114;20250715;0;0;searching
20250715_153208.673158;20250715;0;0;searching
20250715_153209.012056;20250715;0;0;searching
20250715_153209.342312;20250715;0;0;searching
20250715_153209.679583;20250715;0;0;searching
20250715_153210.055030;20250715;0;0;searching
20250715_153210.443207;20250715;0;0;searching
20250715_153210.775861;20250715;0;0;searching
20250715_153211.106962;20250715;0;0;searching
20250715_153211.433418;20250715;0;0;searching
20250715_153211.781875;20250715;0;0;searching
20250715_153212.117234;20250715;0;0;searching
20250715_153212.465985;20250715;0;0;searching
20250715_153212.792821;20250715;0;0;searching
20250715_153213.125045;20250715;0;0;searching
20250715_153213.456344;20250715;0;0;searching
20250715_153213.782520;20250715;0;0;searching
20250715_153214.116802;20250715;0;0;searching
20250715_153214.453090;20250715;0;0;searching
20250715_153214.785503;20250715;0;0;searching
20250715_153215.111474;20250715;0;0;searching
20250715_153215.441788;20250715;0;0;searching
20250715_153215.770322;20250715;0;0;searching
20250715_153216.113320;20250715;0;0;searching
20250715_153216.451627;20250715;0;0;searching
20250715_153216.802616;20250715;0;0;searching
20250715_153217.138429;20250715;0;0;searching
20250715_153217.467649;20250715;0;0;searching
20250715_153217.803404;20250715;0;0;searching
20250715_153218.135336;20250715;0;0;searching
20250715_153218.470412;20250715;0;0;searching
20250715_153218.806395;20250715;0;0;searching
20250715_153219.142244;20250715;0;0;searching
20250715_153219.475341;20250715;0;0;searching
20250715_153219.808752;20250715;0;0;searching
20250715_153220.147961;20250715;0;0;searching
20250715_153220.484696;20250715;0;0;searching
20250715_153220.808014;20250715;0;0;searching
20250715_153221.147306;20250715;0;0;searching
20250715_153221.482422;20250715;0;0;searching
20250715_153221.829641;20250715;0;0;searching
20250715_153222.178743;20250715;0;0;searching
20250715_153222.522351;20250715;0;0;searching
20250715_153222.872327;20250715;0;0;searching
